sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","scan_count",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time"
"1602058624.6","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","ip-172-31-51-211.ec2.internal","1602058624.663249",0,0,1602058624,0,0,canceled,"0.543",,,,,,,,,,,
"1602062220.11","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","ip-172-31-51-211.ec2.internal","1602062220.484416",0,0,1602062220,0,0,canceled,"0.342",,,,,,,,,,,
"1602065820.17","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""","ip-172-31-51-211.ec2.internal","1602065820.849636",0,0,1602065820,0,0,canceled,"0.384",,,,,,,,,,,
"1602069420.23","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","ip-172-31-51-211.ec2.internal","1602069420.675271",0,0,1602069420,0,0,canceled,"0.375",,,,,,,,,,,
"1602073020.28","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","ip-172-31-51-211.ec2.internal","1602073020.922354",0,0,1602073020,0,0,canceled,"0.366",,,,,,,,,,,
"1602076621.33","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""","ip-172-31-51-211.ec2.internal","1602076621.321994",0,0,1602076621,0,0,canceled,"0.367",,,,,,,,,,,
"1602080221.17","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""","ip-172-31-51-211.ec2.internal","1602080221.279496",0,0,1602080221,0,0,canceled,"0.384",,,,,,,,,,,
"1602083820.22","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","ip-172-31-51-211.ec2.internal","1602083820.642713",0,0,1602083820,0,0,canceled,"0.34400000000000003",,,,,,,,,,,
"1602087421.69","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""","ip-172-31-51-211.ec2.internal","1602087421.413346",0,0,1602087421,0,0,canceled,"0.34900000000000003",,,,,,,,,,,
"1602091021.74","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""","ip-172-31-51-211.ec2.internal","1602091021.180479",0,0,1602091021,0,0,canceled,"0.367",,,,,,,,,,,
"1602094621.79","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","ip-172-31-51-211.ec2.internal","1602094621.029814",0,0,1602094621,0,0,canceled,"0.387",,,,,,,,,,,
"1602098220.84","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""","ip-172-31-51-211.ec2.internal","1602098220.787876",0,0,1602098220,0,0,canceled,"0.34400000000000003",,,,,,,,,,,
"1602101820.89","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""","ip-172-31-51-211.ec2.internal","1602101820.565399",0,0,1602101820,0,0,canceled,"0.447",,,,,,,,,,,
"1602105421.94","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","ip-172-31-51-211.ec2.internal","1602105421.317526",0,0,1602105421,0,0,canceled,"0.34500000000000003",,,,,,,,,,,
"1602109020.99","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","ip-172-31-51-211.ec2.internal","1602109020.999660",0,0,1602109021,0,0,canceled,"0.371",,,,,,,,,,,
"1602112620.104","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""","ip-172-31-51-211.ec2.internal","1602112620.688510",0,0,1602112620,0,0,canceled,"0.34500000000000003",,,,,,,,,,,
"1602116221.109","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","ip-172-31-51-211.ec2.internal","1602116221.639261",0,0,1602116221,0,0,canceled,"0.364",,,,,,,,,,,
"1602119820.114","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""","ip-172-31-51-211.ec2.internal","1602119820.656860",0,0,1602119820,0,0,canceled,"0.34",,,,,,,,,,,
"1602123420.119","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","ip-172-31-51-211.ec2.internal","1602123420.970409",0,0,1602123421,0,0,canceled,"0.374",,,,,,,,,,,
"1602127021.148","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""","ip-172-31-51-211.ec2.internal","1602127021.266445",0,0,1602127021,0,0,canceled,"0.365",,,,,,,,,,,
"1602130620.153","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""","ip-172-31-51-211.ec2.internal","1602130620.859775",0,0,1602130620,0,0,canceled,"0.362",,,,,,,,,,,
"1602134220.158","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","ip-172-31-51-211.ec2.internal","1602134220.520317",0,0,1602134220,0,0,canceled,"0.367",,,,,,,,,,,
"1602137821.163","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","ip-172-31-51-211.ec2.internal","1602137821.227935",0,0,1602137821,0,0,canceled,"0.369",,,,,,,,,,,
"1602141420.168","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","ip-172-31-51-211.ec2.internal","1602141420.892206",0,0,1602141420,0,0,canceled,"0.455",,,,,,,,,,,
"1602145020.179","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""","ip-172-31-51-211.ec2.internal","1602145020.556412",0,0,1602145020,0,0,canceled,"0.34600000000000003",,,,,,,,,,,
"1602148620.209","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""","ip-172-31-51-211.ec2.internal","1602148620.472300",0,0,1602148620,0,0,canceled,"0.34400000000000003",,,,,,,,,,,
"1602152220.214","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""","ip-172-31-51-211.ec2.internal","1602152220.983520",0,0,1602152221,0,0,canceled,"0.374",,,,,,,,,,,
"1602155820.219","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","ip-172-31-51-211.ec2.internal","1602155820.795371",0,0,1602155820,0,0,canceled,"0.371",,,,,,,,,,,
